aclass_id,bus,smm,prikljucna_moc_odjem,prikljucna_moc_oddaja,x_y,lon_lat
PMO,77878,124372.0,14.0,0.0,"(520330.9280000003, 152367.20439999923)","(21.355959087171207, 49.23923572926388)"
PMO,77878,124373.0,14.0,0.0,"(520330.9280000003, 152367.20439999923)","(21.355959087171207, 49.23923572926388)"
PMO,77878,124374.0,14.0,0.0,"(520330.9280000003, 152367.20439999923)","(21.355959087171207, 49.23923572926388)"
PMO,77878,124375.0,14.0,0.0,"(520330.9280000003, 152367.20439999923)","(21.355959087171207, 49.23923572926388)"
PMO,77878,124376.0,14.0,0.0,"(520330.9280000003, 152367.20439999923)","(21.355959087171207, 49.23923572926388)"
PMO,41270,513.0,14.0,0.0,"(520367.0789999999, 152321.53879999928)","(21.356432617558596, 49.23882752922921)"
PMO,41270,11124.0,17.0,0.0,"(520367.0789999999, 152321.53879999928)","(21.356432617558596, 49.23882752922921)"
PMO,41271,96344.0,14.0,0.0,"(520365.6808000002, 152377.55959999934)","(21.356408596008723, 49.23933142937575)"
PMO,41271,96343.0,14.0,0.0,"(520365.6808000002, 152377.55959999934)","(21.356408596008723, 49.23933142937575)"
PMO,41271,11119.0,17.0,0.0,"(520365.6808000002, 152377.55959999934)","(21.356408596008723, 49.23933142937575)"
PMO,41271,11121.0,6.0,0.0,"(520365.6808000002, 152377.55959999934)","(21.356408596008723, 49.23933142937575)"
PMO,41272,454.0,14.0,0.0,"(520365.0005999999, 152373.01960000023)","(21.35640025423092, 49.23929053472161)"
PMO,41785,,,,"(520350.3822999997, 152435.16090000048)","(21.356204177077743, 49.239848533967375)"
PMO,41784,594.0,24.0,0.0,"(520350.6040000003, 152487.44170000032)","(21.35620155018914, 49.240318904602326)"
PMO,41783,506.0,17.0,0.0,"(520351.3607000001, 152385.63010000065)","(21.35622207482028, 49.239402991832385)"
PMO,41783,11117.0,8.0,0.0,"(520351.3607000001, 152385.63010000065)","(21.35622207482028, 49.239402991832385)"
PMO,41783,11109.0,8.0,0.0,"(520351.3607000001, 152385.63010000065)","(21.35622207482028, 49.239402991832385)"
PMO,41783,507.0,8.0,0.0,"(520351.3607000001, 152385.63010000065)","(21.35622207482028, 49.239402991832385)"
PMO,41783,84718.0,6.0,0.0,"(520351.3607000001, 152385.63010000065)","(21.35622207482028, 49.239402991832385)"
PMO,41783,11114.0,8.0,0.0,"(520351.3607000001, 152385.63010000065)","(21.35622207482028, 49.239402991832385)"
PMO,41783,11112.0,8.0,0.0,"(520351.3607000001, 152385.63010000065)","(21.35622207482028, 49.239402991832385)"
PMO,41783,11108.0,8.0,0.0,"(520351.3607000001, 152385.63010000065)","(21.35622207482028, 49.239402991832385)"
PMO,41783,11113.0,8.0,0.0,"(520351.3607000001, 152385.63010000065)","(21.35622207482028, 49.239402991832385)"
PMO,41783,11107.0,4.0,0.0,"(520351.3607000001, 152385.63010000065)","(21.35622207482028, 49.239402991832385)"
PMO,41269,,,,"(520373.88939999975, 152328.7287000008)","(21.35652016306466, 49.23889271162871)"
PMO,41273,91785.0,14.0,0.0,"(520364.6786000002, 152311.48870000057)","(21.356402551849825, 49.23873693631057)"
PMO,41278,121274.0,14.0,0.0,"(520347.8702999996, 152374.00009999983)","(21.356178042657746, 49.239298105398724)"
PMO,41278,634.0,43.0,0.0,"(520347.8702999996, 152374.00009999983)","(21.356178042657746, 49.239298105398724)"
PMO,41791,91435.0,17.0,0.0,"(520339.18039999995, 152384.88049999997)","(21.35606422581281, 49.23939535849192)"
